DateTime,State,Fuel Type,Supply
19/10/2024 00:00,SA,Wind,91892.411
19/10/2024 00:00,TAS,Gas,867.924
19/10/2024 00:00,TAS,Hydro,143776.211
19/10/2024 00:00,TAS,Wind,30349.95
19/10/2024 00:00,VIC,Battery,6630.557
19/10/2024 00:00,VIC,Brown coal,502853.467
19/10/2024 00:00,VIC,Gas,4899.05
19/10/2024 00:00,VIC,Hydro,46254.715
19/10/2024 00:00,VIC,Solar,40612.167
19/10/2024 00:00,VIC,Wind,161764.212
26/10/2024 00:00,NSW,Battery,2755.151
26/10/2024 00:00,NSW,Biomass,4255.849
26/10/2024 00:00,NSW,Black coal,696703.508
26/10/2024 00:00,NSW,Gas,8725.854
26/10/2024 00:00,NSW,Hydro,51031.286
26/10/2024 00:00,NSW,Liquid Fuel,1.692
26/10/2024 00:00,NSW,Solar,175266.614
26/10/2024 00:00,NSW,Wind,95551.382
26/10/2024 00:00,QLD,Battery,4720.422
26/10/2024 00:00,QLD,Biomass,7436.429
26/10/2024 00:00,QLD,Black coal,737929.135
26/10/2024 00:00,QLD,Gas,62406.018
26/10/2024 00:00,QLD,Hydro,30268.704
26/10/2024 00:00,QLD,Liquid Fuel,84.833
26/10/2024 00:00,QLD,Solar,129343.434
26/10/2024 00:00,QLD,Wind,64574.128
26/10/2024 00:00,SA,Battery,3622.298
26/10/2024 00:00,SA,Gas,35743.003
26/10/2024 00:00,SA,Liquid Fuel,40.394
26/10/2024 00:00,SA,Solar,13931.387
26/10/2024 00:00,SA,Wind,107728.197
26/10/2024 00:00,TAS,Gas,1300.367
26/10/2024 00:00,TAS,Hydro,125476.163
26/10/2024 00:00,TAS,Wind,48474.207
26/10/2024 00:00,VIC,Battery,4914.947
26/10/2024 00:00,VIC,Brown coal,504844.285
26/10/2024 00:00,VIC,Gas,3132.402
26/10/2024 00:00,VIC,Hydro,48615.417
26/10/2024 00:00,VIC,Solar,41909.957
26/10/2024 00:00,VIC,Wind,164220.959
02/11/2024 00:00,NSW,Battery,2977.65
02/11/2024 00:00,NSW,Biomass,3750.428
02/11/2024 00:00,NSW,Black coal,727066.159
02/11/2024 00:00,NSW,Gas,14673.851
02/11/2024 00:00,NSW,Hydro,84109.967
