C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2/6/2024,4:05:01,0000000421635450,,0000000421635444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:25,1,NSW1,0,107.50463,0,107.50463,0,0,6698.09,5,6722.45,47,-22.64,0,,,44,,,,,,,,43,,,,,,,,72,,,,,,,,134,,,,,,,,110,,,,,,,,119.12,,,,,,-10.34887,10968.44146,109,6709.11963,6746.56,,33,,,,9,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.39,0.39,0,0.39,0.39,0,20.68,20.68,0,1.83,1.83,0,0.39,0.39,0,0.39,0.39,0,3.61,3.61,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:25,1,QLD1,0,103.39,0,103.39,0,0,5555.38,1,5842.85,32.01,255.46,0,,,28,,,,,,,,28,,,,,,,,28,,,,,,,,65,,,,,,,,172,,,,,,,,172,,,,,,-2.71376,9093.10256,124,5602.96143,5589.11,,0,,,,89,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.39,0.39,0,0.39,0.39,0,20.68,20.68,0,1.83,1.83,0,0.39,0.39,0,0.39,0.39,0,3.61,3.61,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:25,1,SA1,0,174.23748,0,174.23748,0,0,1350.31,1,641.61,25,-733.7,0,,,146,,,,,,,,139,,,,,,,,168,,,,,,,,87.22,,,,,,,,103,,,,,,,,175,,,,,,-2.29289,2275.60976,376,1375.31055,1402.61,,54,,,,31,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.39,0.39,0,0.39,0.39,0,20.68,20.68,0,1.83,1.83,0,0.39,0.39,0,0.39,0.39,0,3.61,3.61,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:25,1,TAS1,0,160.11,0,160.11,0,0,1078.44,1,655.3,0,-423.15,0,,,0,,,,,,,,19.23,,,,,,,,19.23,,,,,,,,106,,,,,,,,172.29,,,,,,,,86.04,,,,,,-4.15857,2039.48633,0,1081.60303,1078.44,,50,,,,50,,,,,,,,,,,,,,,,,,,7.32,7.32,0,0.39,0.39,0,0.39,0.39,0,7.36,7.36,0,0.38,0.38,0,0.38,0.38,0,0,0,0,4.26,4.26,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:25,1,VIC1,0,138.50455,0,138.50455,0,0,4207,-3,5250.43,21,1022.43,0,,,49.99,,,,,,,,186.2,,,,,,,,38.84,,,,,,,,126,,,,,,,,118.37,,,,,,,,123.49,,,,,,-5.19431,8688.93295,414,4287.0166,4295.92,,103.77,,,,41,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.39,0.39,0,0.39,0.39,0,20.68,20.68,0,1.83,1.83,0,0.39,0.39,0,0.39,0.39,0,3.61,3.61,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:30,1,NSW1,0,85.0001,0,85.0001,0,0,6611.32,5,6638.23,49,-22.09,0,,,44,,,,,,,,103,,,,,,,,90,,,,,,,,137,,,,,,,,113,,,,,,,,122.1,,,,,,5.60645,10962.08195,109,6650.7124,6661.58,,49,,,,40,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.39,0.39,0,0.38,0.38,0,11.68,11.68,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,1.5,1.5,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:30,1,QLD1,0,81.60429,0,81.60429,0,0,5484.74,0,5759.53,45,229.79,0,,,28,,,,,,,,28,,,,,,,,0,,,,,,,,65,,,,,,,,159.98,,,,,,,,157.66,,,,,,-3.33156,9096.06831,124,5523.50635,5531.22,,0,,,,50,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.39,0.39,0,0.38,0.38,0,11.68,11.68,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,1.5,1.5,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:30,1,SA1,0,209.64399,0,209.64399,0,0,1343.87,1,634.85,9,-718.02,0,,,85,,,,,,,,162,,,,,,,,127.9,,,,,,,,82,,,,,,,,104,,,,,,,,160,,,,,,-8.13897,2272.84964,376,1404.59253,1379.03,,50.82,,,,14,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.39,0.39,0,0.38,0.38,0,11.68,11.68,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,1.5,1.5,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:30,1,TAS1,0,191.81788,0,191.81788,0,0,1088.8,1,672.61,0,-416.2,0,,,0,,,,,,,,26.18,,,,,,,,26.18,,,,,,,,106,,,,,,,,156,,,,,,,,82.22,,,,,,-5.76988,2040.50616,0,1093.57312,1088.8,,50,,,,50,,,,,,,,,,,,,,,,,,,7.32,7.32,0,0.39,0.39,0,0.38,0.38,0,6.36,6.36,0,0.38,0.38,0,0.38,0.38,0,0,0,0,4.26,4.26,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:30,1,VIC1,0,171.37153,0,171.37153,0,0,4237.83,-2,5301.46,43,1020.63,0,,,112.4,,,,,,,,97.91,,,,,,,,84,,,,,,,,121.29,,,,,,,,136,,,,,,,,147,,,,,,-13.86426,8669.79329,414,4345.37793,4346.04,,84,,,,66,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.39,0.39,0,0.38,0.38,0,11.68,11.68,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,1.5,1.5,0,,,,,,,,,,
